日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2022/10/03,31.868,4.458747,0.9808,145.015,1.1202,0.6442,7.84995,7.1473,18.0644,0.5651
2022/10/04,31.748,4.493358,0.9879,144.645,1.1392,0.6519,7.84995,7.06555,17.7394,0.5747
2022/10/05,31.568,4.482877,0.99425,144.405,1.1407,0.6483,7.84975,7.0419,17.70015,0.5729
2022/10/06,31.53,4.474454,0.99,144.615,1.1323,0.6498,7.84985,7.04665,17.814,0.5754
2022/10/07,31.668,4.455814,0.9805,144.84,1.1193,0.6415,7.84995,7.1071,18.00425,0.5654
2022/10/11,31.867,4.439838,0.9719,145.525,1.1048,0.6284,7.84985,7.1775,18.08765,0.5571
2022/10/12,31.839,4.438388,0.9713,146.235,1.0985,0.6259,7.84995,7.17355,18.21045,0.5593
2022/10/13,31.889,4.432667,0.9701,146.845,1.1074,0.6273,7.84915,7.1941,18.3695,0.5607
2022/10/14,31.884,4.434235,0.976,147.575,1.12885,0.63185,7.84985,7.1904,18.16285,0.56505
2022/10/17,31.997,4.436896,0.9749,148.675,1.12595,0.6243,7.84995,7.21155,18.1854,0.5595
2022/10/18,31.994,4.444383,0.9851,148.945,1.1352,0.6304,7.8496,7.19875,17.98055,0.5689
2022/10/19,32.022,4.423103,0.98295,149.415,1.12645,0.62965,7.84995,7.2397,18.1606,0.5678
2022/10/20,32.107,4.425789,0.979,149.925,1.12115,0.6272,7.8491,7.2545,18.341,0.5661
2022/10/21,32.188,4.429648,0.9781,150.575,1.11615,0.6264,7.84965,7.2665,18.3489,0.5656
2022/10/24,32.226,4.418765,0.98295,149.265,1.13385,0.62995,7.84945,7.293,18.2927,0.5703
2022/10/25,32.319,4.405823,0.98705,148.895,1.1314,0.6333,7.84985,7.3355,18.45195,0.571
2022/10/26,32.215,4.463388,1.0027,147.035,1.1571,0.6473,7.84985,7.2176,18.0488,0.5802
2022/10/27,32.108,4.434211,1.0065,145.715,1.1598,0.6476,7.84895,7.24095,17.9839,0.5837
2022/10/28,32.148,4.420575,0.994,147.345,1.1523,0.6414,7.8488,7.27235,18.0884,0.58005
2022/10/31,32.21,4.403526,0.9924,148.175,1.1563,0.64005,7.84955,7.3146,18.274,0.581
2022/11/01,32.179,4.418659,0.9944,147.705,1.1543,0.6448,7.8489,7.2825,18.13795,0.5882
2022/11/02,32.17,4.41144,0.9888,147.315,1.14995,0.642,7.84975,7.2924,18.14935,0.58775
2022/11/03,32.245,4.394961,0.9789,147.915,1.1333,0.6327,7.84985,7.3368,18.32675,0.5796
2022/11/04,32.185,4.427143,0.9778,147.595,1.1222,0.63595,7.84995,7.2699,18.25705,0.5825
2022/11/07,32.082,4.428631,0.99485,147.335,1.1338,0.64275,7.84985,7.24425,17.96135,0.5894
2022/11/08,32.062,4.410417,0.9996,146.695,1.1478,0.6457,7.84995,7.2696,17.77195,0.5913
2022/11/09,31.903,4.402774,1.0078,145.335,1.1554,0.6512,7.84955,7.2461,17.6619,0.595
2022/11/10,31.905,4.398934,1.00025,146.245,1.1388,0.6406,7.8496,7.2529,17.77025,0.5862
2022/11/11,31.41,4.417157,1.02315,141.385,1.17195,0.66375,7.83975,7.1109,17.34865,0.60235
2022/11/14,31.116,4.433221,1.03445,139.445,1.18085,0.67065,7.83875,7.0188,17.21155,0.6106
2022/11/15,31.105,4.42817,1.04095,139.385,1.18295,0.67535,7.82675,7.02435,17.18995,0.6152
2022/11/16,31.115,4.397296,1.0404,139.375,1.1878,0.6776,7.82285,7.07595,17.28125,0.6172
2022/11/17,31.158,4.371312,1.0392,139.07,1.19425,0.67425,7.82545,7.12785,17.24365,0.61595
2022/11/18,31.17,4.370938,1.0358,140.065,1.1898,0.67015,7.82285,7.1312,17.379,0.61645
2022/11/21,31.21,4.355699,1.0268,140.985,1.18315,0.6642,7.81155,7.16535,17.3782,0.6128
2022/11/22,31.213,4.359957,1.0258,141.905,1.18375,0.66145,7.8147,7.159,17.31495,0.6126
2022/11/23,31.218,4.364432,1.0339,141.275,1.18855,0.666,7.81615,7.1528,17.23575,0.6186
2022/11/24,31.027,4.337575,1.0413,139.095,1.2083,0.6743,7.81085,7.1531,16.9658,0.6246
2022/11/25,30.905,4.312051,1.0419,138.645,1.21035,0.67555,7.80865,7.1671,17.0816,0.625
2022/11/28,31.012,4.296961,1.0392,138.145,1.2072,0.6688,7.81325,7.2172,17.1489,0.62135
2022/11/29,30.952,4.314616,1.03555,138.255,1.20215,0.6717,7.81145,7.17375,17.0325,0.62235
2022/11/30,30.902,4.323684,1.0353,138.655,1.19735,0.67125,7.80375,7.14715,16.97945,0.6227
2022/12/01,30.633,4.333375,1.0425,136.445,1.2097,0.6812,7.7866,7.0691,17.31245,0.6327
2022/12/02,30.605,4.347716,1.0523,134.675,1.2261,0.6811,7.7797,7.03935,17.6057,0.6387
2022/12/05,30.455,4.380678,1.054,134.985,1.2279,0.68035,7.77035,6.9521,17.27155,0.6407
2022/12/06,30.638,4.383593,1.0506,136.755,1.2219,0.67285,7.7727,6.98925,17.29135,0.63265
2022/12/07,30.662,4.393282,1.0456,137.655,1.2137,0.6685,7.7936,6.9793,17.3895,0.63245
2022/12/08,30.685,4.400229,1.0522,136.855,1.2204,0.67235,7.78505,6.9735,17.1601,0.6362
2022/12/09,30.622,4.407639,1.0569,136.355,1.2254,0.67675,7.7899,6.9475,17.1175,0.63845
2022/12/12,30.714,4.401224,1.0525,136.845,1.22435,0.67695,7.77155,6.9785,17.31165,0.63865
2022/12/13,30.724,4.397987,1.0554,137.485,1.2276,0.6781,7.7736,6.9859,17.5681,0.6404
2022/12/14,30.582,4.400322,1.06295,135.515,1.2364,0.68555,7.77645,6.94995,17.2105,0.6442
2022/12/15,30.625,4.393953,1.064,135.975,1.237,0.6809,7.77415,6.9698,17.3729,0.642
2022/12/16,30.71,4.401142,1.064,137.115,1.2183,0.6696,7.7785,6.97775,17.5399,0.6357
2022/12/19,30.74,4.40412,1.0633,135.915,1.2203,0.6719,7.7832,6.97985,17.55285,0.63895
2022/12/20,30.72,4.406477,1.0614,132.305,1.21515,0.6672,7.78495,6.97155,17.282,0.63375
