date,capacity,turnover,open,high,low,close,change,transaction
2023-01-03,47341828,4674470643,99.9,99.9,98.0,99.1,-0.8,37746
2023-01-04,42812802,4206947798,98.0,98.7,98.0,98.1,-1.0,34793
2023-01-05,37046103,3637807642,98.1,98.9,98.0,98.0,-0.1,26593
2023-01-06,20649438,2035341101,98.3,98.8,98.3,98.4,0.4,16660
2023-01-09,34166209,3390702893,99.2,99.6,98.9,99.1,0.7,19622
2023-01-10,21706054,2157139787,99.4,99.8,99.1,99.4,0.3,10304
2023-01-11,22096447,2195950633,99.8,99.8,99.1,99.1,-0.3,10725
2023-01-12,22014869,2179239269,99.1,99.5,98.6,98.6,-0.5,15225
2023-01-13,18652790,1845839426,99.0,99.5,98.6,98.6,0.0,11985
2023-01-16,32736172,3226475964,98.6,99.2,98.1,98.1,-0.5,24717
2023-01-17,28810658,2829914291,98.2,98.5,98.1,98.1,0.0,18708
2023-01-30,88808349,8751639423,99.6,99.7,98.0,98.1,0.0,47704
2023-01-31,82451939,8235695667,98.3,101.0,98.2,99.7,1.6,31359
2023-02-01,40082663,4014650015,100.5,101.0,99.8,100.0,0.3,16606
2023-02-02,51715604,5183855801,100.5,101.0,100.0,100.0,0.0,24174
2023-02-03,43915390,4379946034,100.0,100.5,99.5,99.6,-0.4,24321
2023-02-06,50479656,5122110765,100.5,102.0,100.5,101.5,1.9,23715
2023-02-07,31412710,3171480698,102.0,102.0,100.5,100.5,-1.0,16026
2023-02-08,25572350,2572849160,100.5,101.0,100.5,100.5,0.0,12039
2023-02-09,29347314,2961597502,100.5,101.5,100.0,101.0,0.5,11842
2023-02-10,25620289,2599062864,101.5,102.0,100.5,101.5,0.5,12161
2023-02-13,18497222,1875032750,101.5,102.0,101.0,101.0,-0.5,8575
2023-02-14,18440692,1877679340,101.5,102.0,101.5,102.0,1.0,10403
2023-02-15,38436177,3925070338,102.0,102.5,101.5,102.5,0.5,17123
2023-02-16,39872101,4115677752,103.0,103.5,102.5,103.5,1.0,18244
2023-02-17,28987254,2989845607,103.0,103.5,102.5,103.5,0.0,13156
2023-02-20,22229942,2291386991,103.5,104.0,102.5,103.0,-0.5,13457
2023-02-21,13906642,1427077845,102.5,103.0,102.5,102.5,-0.5,8104
2023-02-22,26465654,2693882799,102.0,102.5,101.5,102.0,-0.5,12340
2023-02-23,20893415,2146712771,102.0,103.0,102.0,103.0,1.0,9364
2023-02-24,54293618,5520468409,103.0,103.5,101.0,101.0,-2.0,24077
2023-03-01,48149835,4893501805,100.0,103.0,100.0,102.0,1.0,14119
2023-03-02,27936296,2858642381,102.5,103.0,101.5,102.5,0.5,9933
2023-03-03,29276021,3019226308,103.5,104.0,102.5,102.5,0.0,12785
2023-03-06,38599819,3995898779,103.0,104.0,102.5,103.5,1.0,18452
2023-03-07,72773055,7636342931,103.5,106.0,103.5,105.0,1.5,32304
2023-03-08,31871831,3327789129,104.5,105.0,104.0,104.0,-1.0,15640
2023-03-09,62246571,6408341852,104.0,104.5,102.0,102.5,-1.5,26740
2023-03-10,28023340,2855815664,102.0,102.5,101.5,102.0,-0.5,14965
2023-03-13,23735276,2433153486,102.0,103.5,101.5,103.0,1.0,10260
2023-03-14,32014406,3267067677,102.0,102.5,101.5,102.0,-1.0,12409
2023-03-15,21152568,2169924790,102.5,103.0,102.0,102.5,0.5,11367
2023-03-16,27823368,2851039319,102.5,103.0,102.0,102.0,-0.5,12437
2023-03-17,62542797,6479829076,103.0,104.5,102.5,103.5,1.5,19122
2023-03-20,21491112,2210421080,103.5,104.0,102.5,102.5,-1.0,10314
2023-03-21,21169729,2193540108,103.0,104.0,103.0,103.5,1.0,10812
2023-03-22,22619832,2345556939,103.5,104.5,103.0,103.5,0.0,9328
2023-03-23,32467261,3366040153,103.0,104.5,103.0,103.5,0.0,10373
2023-03-24,70639353,7416784272,104.5,106.0,104.0,105.5,2.0,25165
2023-03-27,33360546,3472600020,105.0,105.5,103.5,103.5,-2.0,15606
2023-03-28,24536833,2536665378,104.0,104.0,103.0,103.0,-0.5,11298
2023-03-29,21518974,2227326554,103.0,104.0,103.0,103.5,0.5,8803
2023-03-30,23644023,2461031108,104.0,104.5,103.5,104.5,1.0,7085
2023-03-31,18383489,1916810351,104.5,105.0,104.0,104.0,-0.5,7879
2023-04-06,39285783,4091954496,104.5,105.5,103.0,103.5,-0.5,16621
2023-04-07,11913773,1231720055,104.0,104.0,103.0,103.0,-0.5,7332
2023-04-10,12576290,1298176099,103.0,104.0,103.0,103.0,0.0,8531
2023-04-11,29392861,3036301674,103.5,104.0,103.0,103.5,0.5,12528
2023-04-12,20658342,2125490764,103.5,103.5,102.5,102.5,-1.0,14522
2023-04-13,23559745,2424959743,102.5,103.5,102.5,103.0,0.5,11631
2023-04-14,25764557,2679788131,104.0,104.5,103.0,104.5,1.5,12224
2023-04-17,15419355,1604349556,104.5,104.5,103.5,104.0,-0.5,8478
2023-04-18,16151848,1682286478,104.0,104.5,103.5,104.5,0.5,7834
2023-04-19,18893968,1965342220,104.5,104.5,103.5,104.0,-0.5,10653
2023-04-20,19945258,2079062205,103.5,104.5,103.5,104.5,0.5,8798
2023-04-21,33085440,3461031076,105.0,105.5,104.0,104.0,-0.5,12670
2023-04-24,18482135,1918190124,104.0,104.5,103.5,103.5,-0.5,8082
2023-04-25,29981837,3096473866,103.5,104.0,103.0,103.0,-0.5,12350
2023-04-26,34093936,3537109209,103.0,104.5,103.0,103.5,0.5,12389
2023-04-27,16743295,1732575022,103.5,104.0,103.0,103.5,0.0,7135
2023-04-28,19643921,2046209314,104.0,104.5,103.5,104.5,1.0,6696
2023-05-02,50296436,5301337184,104.5,106.0,104.0,106.0,1.5,22045
2023-05-03,27017028,2851879362,105.5,106.0,105.0,105.5,-0.5,10815
2023-05-04,12816496,1348173051,105.5,105.5,105.0,105.0,-0.5,8061
2023-05-05,12635718,1326313874,105.0,105.5,104.5,105.0,0.0,6031
2023-05-08,10633215,1118390878,105.5,106.0,105.0,105.0,0.0,6543
2023-05-09,40822363,4326837704,105.0,107.0,104.5,106.5,1.5,17889
2023-05-10,17540555,1865834176,106.5,107.0,106.0,106.5,0.0,8986
2023-05-11,21870548,2310508079,106.5,107.0,105.0,105.0,-1.5,9864
